intervention,location,label,amount_fin,has_agreement,agreement_label,agreement_date,instability_type,location_label,region,province,lat,long
http://dati.isprambiente.it/id/ihi/intervention/03ir434/g1,http://dati.isprambiente.it/id/place/17161,Mitigazione del rischio crolli in località Virle nel Comune di Rezzato,170000.00,http://dati.isprambiente.it/id/ihi/agreement/03ir434/g1,AP-int Lombardia IV 08/10/2020,2020-10-08,Frana,Rezzato,lombardia,brescia,45.5075536398557,10.3173154902498
http://dati.isprambiente.it/id/ihi/intervention/249/07,http://dati.isprambiente.it/id/place/95033,Lavori di sistemazione del costone roccioso adiacente alla strada provinciale Norbello - Domusnovas Canales,920000.00,http://dati.isprambiente.it/id/ihi/agreement/249/07,DM 03/11/2006 (DDS/DEC/2006/0632 - 1°P. Strat.),2006-11-03,Frana,Norbello,sardegna,oristano,40.1618869737157,8.79873223597281
http://dati.isprambiente.it/id/ihi/intervention/dait@19_0195/xm,http://dati.isprambiente.it/id/place/61062,MESSA IN SICUREZZA DI MUSICILE  <U+FFFD> VIA A. DIAZ A RISCHIO IDRAULICO <U+FFFD> RIFACIMENTO RETE FOGNARIA,800000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@19_0195/xm,Decreto_Min_int_DAIT_30_12_2019,2019-12-30,Alluvione,Portico di Caserta,campania,caserta,41.0544936265101,14.2828067342462
http://dati.isprambiente.it/id/ihi/intervention/152/07,http://dati.isprambiente.it/id/place/43032,"Consolidamento tramite palificate, drenaggi, gabbionate,opere di ingegneria naturalistica per regimazione acque superficiali -",693000.00,http://dati.isprambiente.it/id/ihi/agreement/152/07,DM 03/11/2006 (DDS/DEC/2006/0632 - 1°P. Strat.),2006-11-03,Frana,Monte San Martino,marche,macerata,43.0328113159082,13.4454117139081
http://dati.isprambiente.it/id/ihi/intervention/13ir004/g4,http://dati.isprambiente.it/id/place/68035,Riduz. rischio idraulico Bac. idr. Aterno Pescara -  Opere di laminazione delle piene Fiume Pescara,54800000.00,http://dati.isprambiente.it/id/ihi/agreement/13ir004/g4,DPCM 15/09/2015 (Piano stralcio Aree metrop.),2015-09-15,Alluvione,Rosciano,abruzzo,pescara,42.3341449513318,14.0451031930778
http://dati.isprambiente.it/id/ihi/intervention/pv111a/10,http://dati.isprambiente.it/id/place/18037,Frana loc. Castel del Lupo (Opere stabilizzazione del versante),100000.00,http://dati.isprambiente.it/id/ihi/agreement/pv111a/10,AP Lombardia 04/11/2010,2010-11-04,Frana,Casteggio,lombardia,pavia,45.0092802947458,9.13185914988304
http://dati.isprambiente.it/id/ihi/intervention/050/09,http://dati.isprambiente.it/id/place/40008,Lavori di ripristino delle scogliere soffolte e sommerse e salpamento di pennelli,210000.00,http://dati.isprambiente.it/id/ihi/agreement/050/09,DM 10/11/2008 (DDS/DEC/2008/0856 - 3°P. Strat.),2008-11-10,Costiero,Cesenatico,emilia-romagna,forli-cesena,44.1758423081881,12.3800903795143
http://dati.isprambiente.it/id/ihi/intervention/dait@21_0563/xm,http://dati.isprambiente.it/id/place/80021,INTERVENTO DI MITIGAZIONE DEL RISCHIO IDROGEOLOGICO DELLE AREE A RISCHIO R4 ED R3*VIA URBANE*INTERVENTO DI MESSA IN SICUREZZA DEL TERRITORIO CON ELEVATO RISCHIO IDROGEOLOGICO - RISCHIO FRANA R4 ED R3,500000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_0563/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Frana,Caraffa del Bianco,calabria,reggio-di-calabria,38.0685063629502,16.1008853643326
http://dati.isprambiente.it/id/ihi/intervention/21ir067/g1,http://dati.isprambiente.it/id/place/21008,Rio S.Isidoro: costruzione di una briglia di trattenuta a monte dell'Autostrada del Brennero,413869.08,http://dati.isprambiente.it/id/ihi/agreement/21ir067/g1,Piano 2021 Bolzano DM 513 03/12/2021,2021-12-03,Alluvione,Bolzano,trentino-alto-adige,bolzano,46.4857648911506,11.348678768232
http://dati.isprambiente.it/id/ihi/intervention/16ir411/g1,http://dati.isprambiente.it/id/place/71017,Lavori di mitigazione del rischio idrogeologico in località Passo di Carnevale,1200000.00,http://dati.isprambiente.it/id/ihi/agreement/16ir411/g1,AP-int Puglia I 19/12/2018,2019-05-26,Frana,Castelnuovo della Daunia,puglia,foggia,41.59541907016,15.1588135690352
http://dati.isprambiente.it/id/ihi/intervention/294/08,http://dati.isprambiente.it/id/place/83049,"Consolidamento della parete rocciosa del Castello di Milazzo (Trattasi di sostituzione di intervento già finanziato con DEC.DS.2006.0632, importo ? 724.000,00)",724000.00,http://dati.isprambiente.it/id/ihi/agreement/294/08,DM 26/11/2007 (DEC/DDS/2007/1081 - 2°P. Strat.),2007-11-26,Frana,Milazzo,sicilia,messina,38.1949165082086,15.2413075114603
http://dati.isprambiente.it/id/ihi/intervention/cs134b/10,http://dati.isprambiente.it/id/place/78013,Interventi di messa in sicurezza della SP 44 in corrispondenza del centro abitato,700000.00,http://dati.isprambiente.it/id/ihi/agreement/cs134b/10,AP Calabria 25/11/2010,2010-11-25,Frana,Belmonte Calabro,calabria,cosenza,39.1690917256027,16.0990879268699
http://dati.isprambiente.it/id/ihi/intervention/dait@21_2338/xm,http://dati.isprambiente.it/id/place/1272,"INTERVENTI STRAORDINARI VERDE PUBBLICO IN PARCHI, GIARDINI ED AREE VERDI IN LOC. VARIE SUL TERRITORIO COMUNALE*VIA LOC. VARIE SUL TERRITORIO COMUNALE*INTERVENTI STRAORDINARI VERDE PUBBLICO IN PARCHI, GIARDINI ED AREE VERDI IN LOC. VARIE SUL TERRITORIO CO",387000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_2338/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Non definito,Torino,piemonte,torino,45.07681502765,7.6755911779951
http://dati.isprambiente.it/id/ihi/intervention/012/09,http://dati.isprambiente.it/id/place/77028,Consolidamento strada Isola Amministrativa Serra del Ponte,192190.00,http://dati.isprambiente.it/id/ihi/agreement/012/09,DM 10/11/2008 (DDS/DEC/2008/0856 - 3°P. Strat.),2008-11-10,Non definito,Tricarico,basilicata,matera,40.6326491349674,16.1117423075723
http://dati.isprambiente.it/id/ihi/intervention/410/02,http://dati.isprambiente.it/id/place/94027,Dissesto idrogeologico.,250000.00,http://dati.isprambiente.it/id/ihi/agreement/410/02,DM 18/05/2004 (DS/2004/00164 - 9° stralcio),2004-05-18,Frana,Miranda,molise,isernia,41.6413837303555,14.2551318617074
http://dati.isprambiente.it/id/ihi/intervention/mi087b/10,http://dati.isprambiente.it/id/place/15206,Realizzazione vasca di laminazione sul fiume Seveso (Opere di regimazione idraulica),10000000.00,http://dati.isprambiente.it/id/ihi/agreement/mi087b/10,AP Lombardia 04/11/2010,2010-11-04,Alluvione,Senago,lombardia,milano,45.5712019561836,9.1206879802815
http://dati.isprambiente.it/id/ihi/intervention/dait@21_0962/xm,http://dati.isprambiente.it/id/place/65057,INTERVENTO DI MESSA IN SICUREZZA DAL RISCHIO IDROGEOLOGICO DELL  ABITATO DI CARDILE*VIA FRAZIONE CARDILE*INTERVENTO DI MESSA IN SICUREZZA E ADEGUAMENTO FUNZIONALE E AREE ESTERNE,480000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_0962/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Non definito,Gioi,campania,salerno,40.2796307479918,15.2254114142134
http://dati.isprambiente.it/id/ihi/intervention/322/99,http://dati.isprambiente.it/id/place/54024,CONSOLIDAMENTO S.S. 298 EUGUBINA,442087.11,http://dati.isprambiente.it/id/ihi/agreement/322/99,DPCM 21/12/1999 (DSTN/2/27782),1999-12-21,Frana,Gubbio,umbria,perugia,43.3310536663818,12.5465756056711
http://dati.isprambiente.it/id/ihi/intervention/dait@21_0219/xm,http://dati.isprambiente.it/id/place/67044,MESSA IN SICUREZZA IDRAULICA DEL TRATTO DI MONTE DEL FOSSO VASCELLO - INTERVENTO T7 -*TRATTO DI MONTE DEL FOSSO VASCELLO*INTERVENTI DI MESSA IN SICUREZZA DEL TERRITORIO COMUNALE PER LA MITIGAZIONE DAL RISCHIO IDROGEOLOGICO,956500.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_0219/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Alluvione,Tortoreto,abruzzo,teramo,42.7958132659845,13.9281049730699
http://dati.isprambiente.it/id/ihi/intervention/dait@21_2527/xm,http://dati.isprambiente.it/id/place/87011,"INTERVENTI DI MESSA IN SICUREZZA IDROGEOLOGICA DEL PARCHEGGIO DELLA CIRCONVALLAZIONE DI PONENTE (ART. 2, COMMA 2, LETTERA B ? DECRETO 05/08/2020)*VIA CIRCONVALLAZIONE DI PONENTE*INTERVENTI DI MESSA IN SICUREZZA IDROGEOLOGICA DEL PARCHEGGIO DELLA CIRCONVA",944800.80,http://dati.isprambiente.it/id/ihi/agreement/dait@21_2527/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Non definito,Caltagirone,sicilia,catania,37.1812820916484,14.5188932869281
http://dati.isprambiente.it/id/ihi/intervention/746/99,http://dati.isprambiente.it/id/place/49009,CONSOLIDAMENTO E RIFACIMENTO ARGINATURE ESISTENTI.,996245.36,http://dati.isprambiente.it/id/ihi/agreement/746/99,DPCM 27/12/2002 (SDT/07108),2002-12-27,Alluvione,Livorno,toscana,livorno,43.5184969680151,10.3549597950749
http://dati.isprambiente.it/id/ihi/intervention/648/99,http://dati.isprambiente.it/id/place/77002,Via Nazionale - Vallone Acquasanta,480210.92,http://dati.isprambiente.it/id/ihi/agreement/648/99,DPCM 28/01/2004 (g),2004-01-28,Frana,Aliano,basilicata,matera,40.3053755248505,16.2535061385518
http://dati.isprambiente.it/id/ihi/intervention/18ir468/g1,http://dati.isprambiente.it/id/place/79023,INTERVENTI DI REGIMAZIONE DELLE ACQUE METEORICHE BACINO IN DESTRA IDRAULICA DEL TORRENTE LA FIUMAREL,480000.00,http://dati.isprambiente.it/id/ihi/agreement/18ir468/g1,AP-int Calabria II 30/10/2020,2020-10-30,Alluvione,Catanzaro,calabria,catanzaro,38.8916518379905,16.612016120609
http://dati.isprambiente.it/id/ihi/intervention/dait@21_1462/xm,http://dati.isprambiente.it/id/place/8040,CONSOLIDAMENTO  E MESSA IN SICUREZZA TRATTI DISSESTATI DELLA STRADA DI ACCESSO A NEGI FUMEI*VIA STRADA NEGI FUMEI*CONSOLIDAMENTO  E MESSA IN SICUREZZA TRATTI DISSESTATI DELLA STRADA DI ACCESSO A NEGI FUMEI,473131.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_1462/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Non definito,Perinaldo,liguria,imperia,43.8566226224034,7.68508187182277
http://dati.isprambiente.it/id/ihi/intervention/fg078a/10,http://dati.isprambiente.it/id/place/71042,Dissesto Idrogeol. Loc. Sorgiallo,1300000.00,http://dati.isprambiente.it/id/ihi/agreement/fg078a/10,AP Puglia 24/11/2010,2010-11-24,Frana,Rocchetta Sant'Antonio,puglia,foggia,41.1111519027481,15.4408664479226
http://dati.isprambiente.it/id/ihi/intervention/dait@21_1628/xm,http://dati.isprambiente.it/id/place/17085,TORRENTE MULINO  - VALLE DEL TUFO - RIO VALZELLA*VIA VARIE*MANUTENZIONE STRAORDINARIA DEI CORSI D  ACQUA FACENTI PARTE DEL RETICOLO IDRICO MINORE,40000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_1628/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Alluvione,Iseo,lombardia,brescia,45.6609098938128,10.0063865601545
http://dati.isprambiente.it/id/ihi/intervention/202/06,http://dati.isprambiente.it/id/place/53002,Realizzazione opere di contenimento in muratura e cls,496800.00,http://dati.isprambiente.it/id/ihi/agreement/202/06,DM 11/07/2005 (DS/2005/321 - 11° stralcio),2005-07-11,Non definito,Campagnatico,toscana,grosseto,42.8538143205237,11.2509470636326
