,GISID,TIPO,COMUNE,DATA,SCHEDA,MONITORAGG
21,2.0,pozzi con presenza di acqua calda,PORTOMAGGIORE,Novembre 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID2_NOVEMBRE_2012.pdf,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID2_NOVEMBRE_2012.xls
22,29.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,VIGARANO MAINARDA,Giugno 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID29_GIUGNO_2014.pdf,
23,32.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,VIGARANO MAINARDA,Giugno 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID32_GIUGNO_2014.pdf,
24,36.0,presenza di fratture e/o di sprofondamenti nel terreno,TRESIGALLO,Ottobre 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID36_OTTOBRE_2012.pdf,
25,65.0,pozzi con presenza di acqua calda,ALFONSINE,Novembre 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID65_NOVEMBRE_2016.pdf,
26,104.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BAGNACAVALLO,Giugno 2021,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID104_GIUGNO_2021_.pdf,
27,76.0,pozzi con presenza di acqua calda,FAENZA,Giugno 2017,,
28,103.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,LUGO,Novembre 2020,,
29,105.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BERTINORO,Luglio 2021,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID105_LUGLIO_2021.pdf,
30,93.0,pozzi con presenza di acqua calda,FORLÃ,Luglio 2018,,
31,78.0,pozzi con presenza di acqua calda,SAN MAURO PASCOLI,Settembre 2017,,
32,35.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,SAN GIOVANNI DEL DOSSO,Maggio 2013,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID35_MAGGIO_2013.pdf,
33,82.0,pozzi con presenza di acqua calda,RIMINI,Ottobre 2017,,
34,59.0,presenza di fratture e/o di sprofondamenti nel terreno,FISCAGLIA,Luglio 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID59_LUGLIO_2014.pdf,
35,11.0,pozzi con presenza di acqua calda,SAN PROSPERO,Giugno 2013,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID11_GIUGNO_2013.pdf,
36,70.0,pozzi con presenza di acqua calda,SPILAMBERTO,Giugno 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID70_GIUGNO_2016.pdf,
37,22.0,pozzi con presenza di acqua calda,BARICELLA,Gennaio 2013,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID22_GENNAIO_2013.pdf,
38,90.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BARICELLA,Aprile 2018,,
39,44.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BOLOGNA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID44_MARZO_2015.pdf,
40,45.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BOLOGNA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID45_MARZO_2015.pdf,
41,46.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BOLOGNA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID46_MARZO_2015.pdf,
42,51.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BOLOGNA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID51_MARZO_2015.pdf,
43,52.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,BOLOGNA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID52_MARZO_2015.pdf,
44,84.0,pozzi con presenza di acqua calda,BOLOGNA,Gennaio 2018,,
45,87.0,pozzi con presenza di acqua calda,BOLOGNA,Gennaio 2018,,
46,100.0,pozzi con presenza di acqua calda,BUDRIO,Aprile 2019,,
47,28.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,CREVALCORE,Settembre 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID28_SETTEMBRE_2014.pdf,
48,53.0,pozzi con presenza di acqua calda,CREVALCORE,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID53_OTTOBRE_2015.pdf,
49,91.0,pozzi con presenza di acqua calda,MEDICINA,Maggio 2018,,
50,66.0,,MINERBIO,Luglio 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID66_LUGLIO_2016.pdf,
